,From,To,Cost,Var
165,120,121,186.4285714285714,2430.3877132634743
166,6,122,34.5,79.73082369334556
167,122,222,124.5,1081.8248309563846
168,11,123,39.0,79.28599875948395
169,123,49,39.0,152.77586952983216
170,124,50,39.0,231.17174305986944
171,124,123,39.0,71.71964978081553
172,37,125,20.0,25.10490339856293
173,126,184,20.0,42.343462762524034
174,116,127,30.5,39.45665892661231
175,117,128,17.12820512820513,29.834383682951707
176,127,128,5.5,4.364768295162739
177,222,129,58.75,167.92701313692885
178,129,118,5.0,1.9384108086125162
179,222,130,26.8,103.15041599593772
180,130,119,8.5,8.864638439612008
181,130,129,8.5,7.250114653361407
182,127,131,63.29268292682926,173.92239666694198
183,131,214,40.22033898305084,97.43189170351636
184,128,132,19.88,60.63304624010808
185,132,37,78.17543859649123,693.1757731991486
186,131,132,78.17543859649123,775.0597323124522
187,27,133,54.44230769230769,310.5913612972751
188,133,1,68.5,235.7967478108323
189,158,159,57.19083969465649,176.14697966516238
190,135,136,16.25,25.61906221355401
191,136,134,16.25,36.17822172560595
192,134,137,35.59375,62.919155131564644
193,137,221,12.64864864864865,21.344224295909534
194,52,155,23.0,65.60932709643471
195,138,139,23.0,61.44469054305641
196,1,140,28.5,108.00219892116688
197,140,32,94.0,638.1395623331239
198,141,142,94.0,1248.360560376731
199,16,141,24.25,32.434550172019826
200,141,12,33.55555555555556,112.52259705723878
201,14,142,37.8,222.82466345060735
202,142,16,28.42857142857143,53.021832375269454
203,57,144,36.0,70.22410693858862
204,144,43,36.0,150.34318360904243
205,107,145,36.0,72.82616329038687
206,145,108,36.0,143.59271963871902
207,108,146,5.0,2.4276956951531585
208,146,54,38.35294117647059,127.19932959686943
209,111,148,38.35294117647059,60.42701130556583
210,148,40,38.35294117647059,121.90954564894228
211,153,150,1.0,0.08573667594749923
212,65,150,1.0,0.11623485920751277
213,151,152,1.0,0.10865272700126793
214,152,149,1.0,0.10481075746344477
215,150,152,1.0,0.08571805377135097
216,102,154,13.0,24.83691142287098
217,155,154,1.0,0.08217594890501347
218,121,122,230.0,4206.343611431621
219,31,157,230.0,2806.596008269785
220,157,32,230.0,2431.9802965476747
221,160,135,5.8,3.7001552472245005
222,162,161,248.0,6474.272072528422
223,161,163,248.0,9684.888254049378
224,162,164,248.0,7728.152854111568
225,164,163,248.0,8633.232898858521
226,165,166,248.0,5388.9137036489465
227,167,168,867.0,54877.20690569845
228,109,168,85.5,616.9110945804542
229,168,138,56.0,348.9189805193695
230,139,169,56.0,297.52668519321287
231,169,110,52.5,228.52853162216442
232,168,169,52.5,270.60936307322635
233,95,170,14.66666666666667,13.42473366976519
234,125,171,310.6666666666667,4895.108462859756
235,171,126,310.6666666666667,3893.2951840924143
236,173,174,89.85714285714286,622.0710531282547
237,174,175,89.85714285714286,340.2038782743129
238,56,175,89.85714285714286,434.9956669741798
239,175,39,50.0,320.61257154535116
240,47,177,3.6,0.57363562481109
241,101,178,13.21052631578947,22.921680567318926
242,178,104,16.44444444444444,36.038063337314604
243,63,179,16.44444444444444,43.08282617396575
244,179,151,16.44444444444444,38.67305510579493
245,68,180,28.0,34.872209851675116
246,180,167,28.0,122.11189901730549
247,97,181,21.45454545454545,64.80362785819707
248,181,100,22.07692307692308,28.845357668882407
249,184,183,46.0,97.7219464586644
250,183,182,57.5,161.23849669846217
251,9,185,57.5,420.1870045452449
252,185,124,57.5,367.0368295355964
253,87,186,22.1,62.6687318142894
254,186,90,11.72727272727273,16.515844639768076
255,188,187,11.72727272727273,8.472228305532012
256,187,41,23.0,61.29079547789682
257,163,188,23.0,69.4915986652876
258,201,153,23.0,39.77670426159278
259,169,189,23.0,62.063811541126235
260,189,190,25.5,67.65226764232733
261,176,189,25.5,100.93999161921045
262,91,191,25.5,101.4283978043696
263,191,83,30.75,111.99373663526283
264,76,192,14.0,30.00829588068424
265,192,47,8.0,7.887639658353388
266,177,193,8.4,8.62919733450268
267,193,98,33.66666666666666,132.73658072631727
268,92,194,13.69230769230769,11.89819041734315
269,194,96,27.4,85.75259507802136
270,89,195,16.57142857142857,17.801509452538166
271,195,91,31.16666666666667,50.339106607782576
272,224,223,4.0,2.558523142936273
273,75,196,11.0,8.11817292197213
