,From,To,Cost,Var
0,3,2,107.31396107344366,1094.950899949646
1,30,7,201.9821491223121,2751.470462729657
2,221,3,39.5091477397013,91.35811147240267
3,116,4,44.098500001057076,86.42915603121067
4,2,117,27.879143725510108,120.42127074369343
5,7,8,134.7771658563764,1531.0962030362066
6,8,10,97.57074680166107,1400.6289585778998
7,7,9,175.06003661049988,1819.659707353036
8,8,9,184.8993373061205,4961.6968335451365
9,10,11,136.27329075061476,810.8776436134643
10,9,11,105.42203779511532,736.7496577765104
11,12,13,2.6349568283237454,0.37360385667395263
12,12,14,3.323328404752552,0.659183390325491
13,13,15,2.5996492720487936,1.0544321222802502
14,14,15,4.3445881693832735,1.6289169000278056
15,18,221,80.04242581009197,590.6370572090359
16,19,17,103.80454268371201,882.8346630397813
17,21,18,102.30103601170931,844.9209620494644
18,21,20,39.52032193883377,108.69726939385433
19,20,22,71.61836147031325,457.96956471918827
20,22,19,48.569982102448016,117.73716822003729
21,17,23,9.122162631464443,5.910169970415065
22,23,18,50.814580472824446,166.50694233748885
23,22,23,72.86969959806531,477.1367357371421
24,2,24,23.64855306207479,59.398630013890404
25,24,21,155.01861789861124,3599.5828135149486
26,24,25,200.50354530162517,5932.967573166626
27,25,6,129.67724393511867,1849.7721355099284
28,26,156,135.6026270213544,954.942094560504
29,4,27,96.21812929516663,1110.0098756788389
30,156,28,73.43356615999147,860.160663257908
31,28,27,76.08589151779273,825.8974605537619
32,4,29,90.86984427427473,659.0021614532202
33,29,26,126.49059458814453,1812.6864407201017
34,28,29,57.58353070388644,515.8232600148169
35,30,31,136.0950392019871,827.6263539843733
36,32,30,68.22059467921189,244.21021856193266
37,30,33,150.14450773385892,1501.6349729825945
38,33,34,14.113070385450264,9.397660662219453
39,34,35,17.20176137625869,47.23132352476006
40,36,34,28.543897640666124,116.48200902773509
41,35,36,4.094865483221584,0.8165264444271869
42,36,16,46.41821679079815,102.00449250555235
43,214,37,5.830236461640778,1.4038170376726982
44,59,42,74.08717086785119,707.8340694979997
45,45,44,77.95015910330716,368.71445321604807
46,39,46,50.1222965394337,104.68170159160378
47,46,55,26.589802216882312,42.28380366157029
48,54,43,61.57705573315628,352.19730806198004
49,54,46,15.809253118987593,31.476668528866796
50,48,155,25.518430530760337,29.3074545702442
51,47,154,26.617944403563502,106.43213973746869
52,48,47,1.122669681075175,0.15862476922831123
53,49,48,1.0372947619889747,0.048263198549264794
54,50,49,1.6282447259837713,0.1541089714433467
55,50,51,1.2867724790729365,0.14417019096266853
56,49,52,2.0382310396677767,0.18985986523554105
57,51,52,2.1516396393816137,0.7312469430467622
58,166,59,2.3083936669316483,0.3183527657245065
59,166,53,52.85884530748585,305.25719786590037
60,54,55,77.90738883706146,343.2052668849623
61,55,147,18.901780929938003,14.437614656891824
62,147,111,15.083437349320022,25.819893226744647
63,42,57,31.757112714966524,59.43222281940387
64,59,58,14.945304147170527,32.69136191286603
65,42,58,18.82722824722401,15.39280118748846
66,61,176,349.48873339537266,6162.655551063876
67,61,60,368.83695685031734,8814.732328571457
68,60,176,181.82569281038707,1997.3572465258478
69,62,63,198.83267496320423,4744.682669015256
70,64,62,211.51594041443983,3924.985424678043
71,65,63,306.8463752695483,9621.102539834996
72,64,65,366.38834592022437,11596.420176598887
73,66,67,178.8655438951901,3024.8991178160695
74,67,68,303.3332043478969,10006.51452975669
75,66,69,202.87806657181324,4594.457546155717
76,69,68,241.64827877628292,6842.475144479691
77,70,71,45.427083672074346,188.44858499771036
78,70,72,44.390964967241,247.3851709252732
79,71,73,26.770735328173668,88.42294896174579
80,72,73,53.81226679503857,251.79281777368405
81,74,75,46.53098664253837,116.9456167417419
82,75,76,22.85629261678389,43.44387836182265
83,74,77,50.718437158700574,129.98795119262047
84,77,76,26.94956684493635,101.14858509561058
85,71,78,68.4168937263283,646.326393992106
86,78,79,29.7109413533806,138.60954053220303
87,79,74,46.28706109967803,305.9003889688743
88,80,77,71.46772730581816,278.6500769627342
89,79,80,1.4279097419368507,0.23320036202424818
90,78,81,2.0200468392017976,0.34753084086047065
91,73,81,46.92134110968424,179.352029807387
92,81,80,1.4601481438646058,0.24051736739264448
93,82,61,1.6671196035175568,0.38106337927491385
94,83,82,1.4349312884874061,0.11821020953017808
95,83,109,1.9500235041160847,0.44711673894943005
96,82,110,2.280550581927806,0.7713068845596922
97,110,176,82.32988335342615,425.5566368408755
98,68,109,132.7819804164831,2685.787240226948
99,67,83,132.78244109593606,1311.380132307179
100,40,84,48.65931752812781,208.99156408874583
101,85,223,41.04200763883323,91.67967225094428
102,224,85,1.7333888651907476,0.4411783424751337
103,73,87,493.6697953861623,17383.74969963365
104,86,87,539.0877722031915,18425.882778060004
105,88,89,2.4440927406389643,0.2774418224247737
106,88,66,112.30422459926058,647.6122126888187
107,89,67,81.2347852490352,485.667184406628
108,86,88,89.42779464347588,797.6791019436117
109,87,89,5.828747415961665,2.5737514490851496
110,81,90,77.21513324978906,607.9132008988944
111,91,92,45.54529457632694,209.6371245755467
112,80,93,414.18240284621,19220.551370448396
113,90,93,1.1834058549078739,0.10692782756779912
114,90,91,1.1101840826367864,0.05800561044573829
115,92,82,29.395810985810538,89.87735394502126
116,93,92,43.33945356323374,119.1892109232643
117,77,94,95.71393676550767,833.1827834501743
118,93,94,69.00834813077647,224.14289113780595
119,76,95,67.11867630207419,635.8417156245087
120,94,95,68.51973765474372,485.4459910280834
121,96,97,1.7980823713808338,0.34010192370584796
122,96,61,56.528482617475866,286.21848893249177
123,94,96,52.329437294039366,329.64917876398425
124,97,60,51.77505002366724,415.47974636474794
125,95,97,84.39997799973308,720.1727701464497
126,98,99,1.2908442354888892,0.15466184687690543
127,100,101,1.0063813597394646,0.1387847155725125
128,98,100,1.2067256058134304,0.18055037301294524
129,100,64,245.52635398278977,4639.824198283575
130,101,62,136.15495010628698,768.7223256406029
131,99,101,3.772850264333838,1.7421656073035947
132,173,56,3.675678342368704,0.6210199107344692
133,44,102,5.658458953569882,2.5254496735098995
134,154,103,2.847860021321698,0.5193028384275028
135,102,103,4.249203540682002,0.8082962097726594
136,149,38,43.00582700477016,141.86172681458967
137,153,149,46.2034981760752,125.253206845686
138,190,143,48.65206003866669,183.81210527593086
139,143,105,27.294768890125994,106.75376888428653
140,105,149,65.32237686084808,371.8639372286241
141,190,106,93.55391145545615,1050.6097381344446
142,106,153,31.098761352435606,123.37484787334999
143,106,105,39.14223908320207,208.39728264201634
144,58,107,32.29124817447953,141.60339194494276
145,53,108,56.54253360795262,453.19724007728627
146,109,110,130.55219626493718,2147.829299514707
147,43,172,67.43031395970935,304.95798531464595
148,172,173,171.81189434860462,1526.6100322460352
149,112,53,38.38326681049297,159.74108639384187
150,113,112,33.62018913149109,51.0571424529446
151,114,113,45.49994200753614,234.83835915396955
152,206,115,293.95652064572784,8584.315320234364
153,115,114,268.5634728520071,9790.73984880657
154,13,224,44.233730225327555,203.41733594474442
155,14,70,36.31243636148778,66.36620805551358
156,10,70,68.73399550806317,410.77000537946185
157,11,71,109.9195854549175,1728.6451841786572
158,26,119,40.68568227841657,99.02635968984814
159,119,118,38.2566748887682,62.84945385291056
160,116,117,2.1655620260724047,0.32769536573273306
161,119,120,82.56291281742837,331.8296091509623
162,120,116,98.79762436405456,1436.6178766258035
163,118,121,22.71255974542346,27.199629869333876
164,121,117,259.4122154925714,4121.975039413948
165,120,121,215.9946180996617,5279.461190094979
166,6,122,52.26910918388152,207.24017318818795
167,122,222,144.93882912085394,1705.4053753192002
168,11,123,87.02145241444067,834.8021681470627
169,123,49,65.79414995800734,189.22552300610275
170,124,50,50.16808753405641,342.7647846589931
171,124,123,78.35663008975412,522.1919634898926
172,37,125,29.20048820033785,115.25413007494043
173,126,184,20.107833911638217,52.624462204840896
174,116,127,68.77785073133408,667.0132061990622
175,117,128,22.520119456525567,49.404312282869874
176,127,128,11.358096041570578,15.474117900879481
177,222,129,59.32875629455819,524.445613011128
178,129,118,6.972252186165626,2.1030595010630635
179,222,130,61.16860874163528,172.17635649015378
180,130,119,17.523748972000472,19.47247697416759
181,130,129,20.48359488914578,55.07494376641802
182,127,131,76.32327008056157,540.9561987566998
183,131,214,58.39122626178279,152.06261708442017
184,128,132,35.85749321952275,100.91701407895698
185,132,37,112.68382884447978,741.0721213427629
186,131,132,150.0439297779327,1896.2966887985451
187,27,133,134.20081894322115,726.3627383504023
188,133,1,90.48526041489941,681.91475845813
189,158,159,57.56586664717399,529.0513251132239
190,135,136,16.950109753000877,33.98526577395989
191,136,134,24.42743243386773,59.18278488483552
192,134,137,52.581524999674066,137.45299348942683
193,137,221,25.70858274413084,74.67968245252773
194,52,155,40.49547334797759,68.04600712370362
195,138,139,30.053739636915253,41.87530038913027
196,1,140,46.3523101217434,95.91257671796723
197,140,32,190.44137190233693,4093.428462717347
198,141,142,169.82637545109395,2173.082225378459
199,16,141,54.19744369353552,198.29013790943395
200,141,12,55.26817105132141,243.0551728132902
201,14,142,81.36559826087984,525.9819074533667
202,142,16,40.548485986813446,76.20172195616756
203,57,144,42.86208372003332,112.59289296867571
204,144,43,88.95122201616356,854.501813330162
205,107,145,47.962811722328404,287.8753385724424
206,145,108,62.95223737051258,396.0531417648604
207,108,146,7.337074379653547,2.4823753015137147
208,146,54,92.26383925174237,1056.5135863022067
209,111,148,84.81841764542591,776.8908953374208
