From,To,Length,Cost,Var
44,202,289.5094766,50.74932292,66.92811209
44,572,230.317022,149.9730882,3963.71436
45,269,369.6500203,45.99163634,36.84086776
45,715,429.010321,121.7472836,805.248415
45,1252,426.6043255,52.31800493,107.8271284
45,147,494.2698699,58.45301205,166.86333
46,739,395.6032631,41.63009804,402.5618489
46,204,389.6542203,17.4953065,8.304721265
46,1046,766.0010004,13.29598709,1.406650788
46,1246,424.8850094,17.53957439,20.67470429
47,914,684.6502382,31.88129523,40.37105668
47,1026,1020.176889,49.49549048,268.9320888
47,1121,395.8115907,14.88681513,5.552888132
48,233,316.9564225,86.1429231,984.7988638
49,151,437.27896,131.2313206,2466.642969
49,81,260.2348094,119.0604425,485.5035296
50,325,229.5704148,44.24093002,379.1174697
51,52,205.4299773,90.86752167,1052.343503
51,67,280.7455374,478.5193635,5427.110275
53,665,113.8159393,232.8917769,23858.75205
53,449,922.6154733,24.28134629,74.54042547
54,300,1179.207157,178.3294746,14118.37893
54,223,949.7687465,18.17590204,9.418732623
54,1418,1042.151102,39.25086835,113.4361925
54,943,2157.007237,103.8746965,1123.856864
55,1111,447.9160573,49.48392383,332.4614625
55,1243,260.003546,39.99379272,35.62886891
55,881,2352.605615,23.04508011,8.137673849
56,198,1099.377533,55.07921113,509.8968882
56,170,5178.755161,43.43288549,49.80881247
57,861,4181.143453,16.54579099,11.90078646
57,897,3382.064279,74.56149705,328.7637654
57,1629,1099.377533,62.83679185,1169.740809
57,819,175.2258277,90.66166393,738.6602557
58,1372,1387.754926,75.8570694,655.1987015
58,1665,174.577126,27.17784181,29.5349934
58,1473,878.2173475,63.69720479,303.5408285
59,1038,681.411241,50.31450136,425.6426056
59,117,399.819279,44.90234228,120.2143412
59,472,215.9173046,30.78349799,52.58569454
60,464,217.6304248,200.1706872,11465.87933
60,599,364.468426,49.08699616,70.15653608
60,307,640.8767311,188.7753479,1126.516935
61,256,587.8169162,129.3523439,1435.751503
62,190,1120.459658,38.98050991,137.8454137
62,344,63.4009281,29.18617763,77.40023152
116,62,1083.884355,30.93236597,123.1440411
63,362,280.3753136,49.45833834,158.9486619
63,1040,369.4097262,36.67396754,49.71743792
64,764,344.4107303,131.3511369,1814.778869
64,298,138.3653967,85.12492302,1074.344301
64,673,245.4249467,60.45335156,38.39592857
65,109,313.9204424,135.1415235,2064.952269
66,312,207.9239017,74.40296176,430.1622978
67,138,2896.260247,194.0637391,1916.338491
68,401,1233.652182,195.195653,612.5787937
68,251,1072.394654,306.0173445,2867.213408
69,261,769.663418,21.46792117,22.38744692
69,391,274.1133533,116.2790172,4343.642611
69,476,266.2771936,105.5179241,1267.220512
70,1410,304.9521499,26.98842824,86.77704869
70,1673,224.0604964,72.97481969,364.3483742
70,1628,442.5338513,47.01342482,184.9115164
70,992,556.1092987,32.26078613,133.4026614
71,1423,506.0911374,32.29707223,101.164028
71,1419,667.0150371,43.00394166,146.0737659
71,1379,620.9053755,31.2832794,289.5073627
72,198,1557.607396,53.53537925,201.6299563
72,277,2179.281715,55.42186003,236.6232925
72,423,1933.671041,70.52638671,146.9723297
73,368,747.6592605,11.42940038,3.804558329
73,1172,680.9342629,35.39235021,77.36741653
74,1396,2847.913944,37.78941044,167.3026986
74,1874,5178.755161,30.09097592,24.39399494
74,102,2514.976447,73.26993915,387.3392003
75,778,3231.919547,108.1960823,1539.673046
75,535,3561.461404,35.30879147,116.0494283
75,730,2556.670043,52.09903939,257.6744103
76,394,233.2483219,65.46983273,286.0231824
76,255,1044.207014,39.0237136,116.9321981
76,509,1103.828643,84.28810351,143.1852641
76,689,335.3540978,45.96615552,104.7816529
77,282,217.7158719,115.3931913,503.4681103
77,395,433.0946594,196.2189165,3662.33883
77,910,543.3340304,145.4105882,11108.4161
78,1032,260.1592847,12.77874425,5.376906811
78,927,315.986651,12.76908096,22.24288241
78,474,171.0052479,24.67454505,24.42541207
79,1067,513.6855656,50.0138737,191.456326
79,205,518.3521345,44.85275877,383.6970729
79,1268,686.2321224,51.12406628,19.96115717
79,740,66.08638951,80.40448981,1161.796405
80,324,155.8463457,62.81443069,195.0368543
80,136,490.4980126,97.85814726,406.210789
81,123,269.7031656,149.2044607,1730.599094
82,96,270.7760379,78.79936395,358.83677
